================================================================================
RAPPORT DE TRADING - 2025-03-21 10:12:04
================================================================================

Période analysée: derniers 2 jours
Monnaie de référence: USDC
Environnement: Testnet

================================================================================
SOLDES ACTUELS
================================================================================

Solde USDC: 9921.78

Détail des soldes:
+----------+---------------+---------------+---------------+
|  Actif   |   Disponible  |    En ordre   |     Total     |
|ADA       |504.00000000   |0.00000000     |504.00000000   |
|USDP      |499.00000000   |0.00000000     |499.00000000   |
|AEUR      |499.00000000   |0.00000000     |499.00000000   |
|TWT       |482.00000000   |0.00000000     |482.00000000   |
|PORTO     |472.00000000   |0.00000000     |472.00000000   |
|LAZIO     |471.00000000   |0.00000000     |471.00000000   |
|EUR       |467.00000000   |0.00000000     |467.00000000   |
|EURI      |467.00000000   |0.00000000     |467.00000000   |
|THETA     |464.00000000   |0.00000000     |464.00000000   |
|IO        |462.00000000   |0.00000000     |462.00000000   |
|FIRO      |449.00000000   |0.00000000     |449.00000000   |
|CITY      |445.00000000   |0.00000000     |445.00000000   |
|LDO       |435.00000000   |0.00000000     |435.00000000   |
|NEXO      |429.00000000   |0.00000000     |429.00000000   |
|ME        |427.00000000   |0.00000000     |427.00000000   |
|JUV       |421.00000000   |0.00000000     |421.00000000   |
|RUNE      |411.00000000   |0.00000000     |411.00000000   |
|XNO       |405.00000000   |0.00000000     |405.00000000   |
|RLC       |401.00000000   |0.00000000     |401.00000000   |
|AGLD      |387.00000000   |0.00000000     |387.00000000   |
|ASR       |385.00000000   |0.00000000     |385.00000000   |
|UMA       |371.00000000   |0.00000000     |371.00000000   |
|ATM       |371.00000000   |0.00000000     |371.00000000   |
|CYBER     |359.00000000   |0.00000000     |359.00000000   |
|GNS       |339.00000000   |0.00000000     |339.00000000   |
|EIGEN     |339.00000000   |0.00000000     |339.00000000   |
|FTT       |330.00000000   |0.00000000     |330.00000000   |
|DEGO      |324.00000000   |0.00000000     |324.00000000   |
|FXS       |319.00000000   |0.00000000     |319.00000000   |
|PYR       |307.00000000   |0.00000000     |307.00000000   |
|BAL       |299.00000000   |0.00000000     |299.00000000   |
|ORCA      |294.00000000   |0.00000000     |294.00000000   |
|ERN       |289.00000000   |0.00000000     |289.00000000   |
|BAR       |283.00000000   |0.00000000     |283.00000000   |
|CAKE      |281.00000000   |0.00000000     |281.00000000   |
|KAITO     |272.00000000   |0.00000000     |272.00000000   |
|RAY       |226.00000000   |0.00000000     |226.00000000   |
|MASK      |225.00000000   |0.00000000     |225.00000000   |
|ZRO       |223.00000000   |0.00000000     |223.00000000   |
|CVX       |221.00000000   |0.00000000     |221.00000000   |
|PSG       |218.00000000   |0.00000000     |218.00000000   |
|QTUM      |212.00000000   |0.00000000     |212.00000000   |
|XRP       |201.00000000   |0.00000000     |201.00000000   |
|SANTOS    |200.00000000   |0.00000000     |200.00000000   |
|PENDLE    |199.00000000   |0.00000000     |199.00000000   |
|SUI       |198.00000000   |0.00000000     |198.00000000   |
|JTO       |191.00000000   |0.00000000     |191.00000000   |
|NEAR      |172.00000000   |0.00000000     |172.00000000   |
|WING      |168.00000000   |0.00000000     |168.00000000   |
|FORTH     |164.00000000   |0.00000000     |164.00000000   |
|TON       |164.00000000   |0.00000000     |164.00000000   |
|FIL       |162.00000000   |0.00000000     |162.00000000   |
|GAS       |155.00000000   |0.00000000     |155.00000000   |
|BADGER    |153.00000000   |0.00000000     |153.00000000   |
|TIA       |148.00000000   |0.00000000     |148.00000000   |
|AXS       |142.00000000   |0.00000000     |142.00000000   |
|OG        |139.00000000   |0.00000000     |139.00000000   |
|RENDER    |135.00000000   |0.00000000     |135.00000000   |
|OMNI      |119.00000000   |0.00000000     |119.00000000   |
|ATOM      |118.00000000   |0.00000000     |118.00000000   |
|DOT       |113.00000000   |0.00000000     |113.00000000   |
|BRL       |97.00000000    |0.00000000     |97.00000000    |
|APT       |84.00000000    |0.00000000     |84.00000000    |
|RPL       |83.00000000    |0.00000000     |83.00000000    |
